Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
248,Rhode Island,15,8,7,.533,-0.55,1.02,,2,0,,7,2,,1,2,,1103,1087,,600,406,857,.474,90,268,.336,201,327,.615,175,583,205,84,55,196,236
249,Rice,16,6,10,.375,-5.21,0.33,,0,3,,5,3,,1,4,,1174,1213,,645,425,972,.437,121,390,.310,203,283,.717,176,592,231,97,54,199,230
250,Richmond,15,10,5,.667,7.90,-0.96,,2,0,,8,0,,1,3,,1098,965,,600,419,897,.467,118,332,.355,142,207,.686,96,518,205,108,46,126,206
251,Rider,16,5,11,.313,-8.78,-1.38,,2,3,,4,2,,1,9,,1158,1223,,655,428,1043,.410,90,303,.297,212,299,.709,221,656,211,108,61,209,302
252,Robert Morris,18,6,12,.333,-6.85,-2.47,,2,5,,5,5,,1,7,,1336,1347,,725,481,1087,.443,143,425,.336,231,325,.711,221,650,232,109,46,262,320
253,Rutgers,15,9,6,.600,7.79,3.19,,1,3,,8,1,,1,3,,1025,956,,600,356,908,.392,89,311,.286,224,336,.667,195,587,178,114,90,172,242
254,Sacramento State,16,5,11,.313,-10.33,0.24,,1,2,,4,2,,1,7,,1124,1155,,640,392,899,.436,135,423,.319,205,291,.704,197,612,229,79,50,256,281
255,Sacred Heart,17,7,10,.412,-11.11,-5.31,,1,1,,5,3,,1,7,,1229,1243,,680,453,1036,.437,110,335,.328,213,308,.692,169,576,208,165,87,206,295
256,Saint Francis (PA),15,5,10,.333,-16.10,-3.64,,0,2,,3,3,,2,7,,983,1078,,600,356,849,.419,95,305,.311,176,268,.657,182,511,180,101,58,216,263
257,Saint Joseph's,15,10,5,.667,8.75,-2.25,,0,2,,7,1,,1,4,,1172,1007,,605,409,918,.446,168,464,.362,186,254,.732,165,578,241,107,54,168,251
258,Saint Louis,16,8,8,.500,-2.06,2.68,,1,2,,7,2,,0,4,,1190,1225,,640,402,895,.449,127,329,.386,259,359,.721,140,541,192,98,44,191,285
259,Saint Mary's (CA),18,12,6,.667,14.42,5.24,,3,0,,8,3,,3,0,,1299,1064,,730,484,1082,.447,125,402,.311,206,305,.675,263,739,287,129,82,205,308
260,Saint Peter's,13,8,5,.615,-3.24,-3.82,,4,0,,4,1,,4,4,,835,825,,520,274,704,.389,75,248,.302,212,285,.744,166,458,132,97,39,178,264
261,Sam Houston,17,9,8,.529,-4.15,-0.48,,2,0,,6,2,,2,6,,1236,1234,,690,421,1031,.408,128,380,.337,266,372,.715,200,636,235,127,45,227,307
262,Samford,16,14,2,.875,7.14,-3.43,,3,0,,11,0,,3,2,,1421,1183,,640,505,1030,.490,172,426,.404,239,325,.735,197,608,320,174,65,230,312
263,San Diego,18,10,8,.556,-2.47,1.22,,0,3,,9,3,,0,4,,1300,1342,,720,466,1086,.429,125,364,.343,243,330,.736,194,663,228,129,70,264,319
264,San Diego State,16,14,2,.875,16.11,7.04,,3,0,,8,0,,3,2,,1237,1056,,650,427,947,.451,114,350,.326,269,364,.739,178,609,213,122,57,178,274
265,San Francisco,17,13,4,.765,11.43,-2.58,,2,0,,8,0,,3,2,,1333,1040,,685,503,1009,.499,144,403,.357,183,241,.759,176,587,275,153,64,218,289
266,San Jose State,16,7,9,.438,-0.62,-0.68,,0,3,,5,3,,0,5,,1204,1158,,650,437,942,.464,143,412,.347,187,268,.698,133,525,225,93,61,167,271
267,Santa Clara,18,12,6,.667,5.50,2.44,,3,0,,6,2,,3,2,,1380,1291,,720,503,1075,.468,150,405,.370,224,317,.707,199,705,265,93,54,244,308
268,Seattle,16,10,6,.625,4.34,-1.86,,3,2,,9,2,,1,4,,1183,1035,,660,420,932,.451,111,353,.314,232,317,.732,160,595,211,97,55,218,302
