Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
331,Utah Tech,16,7,9,.438,-6.49,0.11,,3,2,,3,3,,4,6,,1121,1208,,650,393,891,.441,113,311,.363,222,341,.651,149,550,206,107,74,251,325
332,Utah Valley,16,8,8,.500,-1.48,2.52,,3,2,,6,1,,1,6,,1094,1107,,645,384,897,.428,70,274,.255,256,362,.707,148,559,230,112,59,193,284
333,UTEP,16,9,7,.563,-3.70,-0.93,,0,1,,8,2,,0,4,,1201,1109,,640,409,895,.457,84,283,.297,299,436,.686,177,538,219,180,52,233,332
334,UTSA,16,7,9,.438,-7.34,-4.61,,1,2,,5,3,,2,6,,1289,1297,,655,436,1034,.422,167,470,.355,250,353,.708,199,636,238,86,77,187,307
335,Valparaiso,16,4,12,.250,-8.12,0.14,,0,5,,4,6,,0,6,,1072,1157,,640,387,965,.401,108,352,.307,190,269,.706,174,556,192,107,63,192,260
336,Vanderbilt,15,5,10,.333,-1.02,1.91,,0,2,,5,5,,0,2,,1034,1078,,600,354,878,.403,109,373,.292,217,300,.723,158,545,152,97,43,167,224
337,Vermont,17,12,5,.706,0.74,-1.66,,2,0,,7,1,,3,3,,1240,1104,,680,458,966,.474,159,437,.364,165,242,.682,131,579,233,82,53,154,232
338,Villanova,16,11,5,.688,15.49,6.30,,4,1,,6,2,,2,2,,1188,1041,,655,395,944,.418,148,449,.330,250,304,.822,174,608,194,93,35,160,248
339,Virginia,15,11,4,.733,10.76,1.89,,2,2,,9,0,,0,3,,992,859,,600,371,818,.454,99,276,.359,151,232,.651,128,489,237,129,76,125,200
340,Virginia Commonwealth,16,9,7,.563,8.11,2.61,,1,2,,7,5,,1,0,,1173,1085,,645,399,883,.452,133,391,.340,242,312,.776,162,583,227,101,81,207,270
341,VMI,16,3,13,.188,-18.68,-3.99,,0,3,,3,3,,0,8,,1114,1217,,645,425,971,.438,116,346,.335,148,231,.641,177,642,180,75,43,264,288
342,Virginia Tech,15,10,5,.667,11.99,4.85,,2,2,,8,0,,0,3,,1115,1008,,600,375,817,.459,119,331,.360,246,314,.783,129,519,229,84,43,178,239
343,Wagner,14,7,7,.500,-11.79,-6.88,,1,1,,4,1,,3,6,,903,878,,565,323,845,.382,113,339,.333,144,207,.696,167,502,186,99,30,132,223
344,Wake Forest,15,11,4,.733,13.84,2.78,,3,1,,9,0,,1,2,,1228,1062,,610,430,901,.477,129,341,.378,239,299,.799,139,524,187,98,70,164,228
345,Washington,16,10,6,.625,14.10,7.54,,2,3,,8,2,,1,2,,1307,1202,,655,466,992,.470,121,339,.357,254,355,.715,171,604,249,87,76,193,305
346,Washington State,16,11,5,.688,11.41,2.35,,2,3,,8,1,,1,2,,1197,1052,,640,439,928,.473,102,303,.337,217,315,.689,174,613,208,88,86,176,281
347,Weber State,16,11,5,.688,5.02,-0.83,,2,1,,7,0,,3,3,,1222,999,,645,421,891,.473,135,365,.370,245,323,.759,125,545,213,101,25,155,222
348,West Virginia,15,5,10,.333,3.19,7.46,,0,2,,5,5,,0,1,,1010,1074,,605,346,857,.404,93,313,.297,225,305,.738,154,547,187,59,55,173,212
349,Western Carolina,16,14,2,.875,1.43,-3.57,,3,0,,7,0,,7,2,,1233,1061,,640,460,966,.476,130,367,.354,183,265,.691,163,645,195,71,58,174,269
350,Western Illinois,17,11,6,.647,-7.20,-3.58,,4,0,,7,1,,4,5,,1222,1124,,690,445,1027,.433,102,317,.322,230,376,.612,266,767,224,91,106,233,262
351,Western Kentucky,16,12,4,.750,-0.77,-2.46,,1,1,,7,0,,4,2,,1269,1177,,641,467,1043,.448,106,335,.316,229,336,.682,190,662,206,126,51,216,311
352,Western Michigan,15,6,9,.400,-7.25,-1.61,,3,0,,2,4,,2,5,,1117,1140,,610,407,894,.455,120,344,.349,183,301,.608,186,563,211,83,33,200,257
353,Wichita State,15,8,7,.533,3.26,3.47,,0,2,,6,1,,1,3,,1102,1075,,600,414,954,.434,93,304,.306,181,266,.680,192,641,177,93,71,183,222
354,William & Mary,16,7,9,.438,-11.44,-6.22,,2,1,,6,1,,1,6,,1201,1170,,645,404,912,.443,146,437,.334,247,342,.722,151,574,212,71,22,172,274
355,Winthrop,18,12,6,.667,0.21,-2.45,,3,0,,8,1,,4,5,,1415,1229,,730,461,1002,.460,138,394,.350,355,496,.716,209,671,219,122,50,235,304
356,Wisconsin,15,12,3,.800,19.82,9.89,,4,0,,8,1,,2,2,,1132,983,,600,401,854,.470,99,292,.339,231,303,.762,154,516,184,95,23,144,222
357,Wofford,16,9,7,.563,-3.19,-0.50,,2,1,,6,0,,3,4,,1268,1215,,655,466,1012,.460,153,435,.352,183,292,.627,177,636,253,64,43,188,262
358,Wright State,18,9,9,.500,0.56,-0.88,,4,3,,5,2,,2,6,,1529,1440,,720,588,1104,.533,117,305,.384,236,317,.744,160,627,289,109,53,208,276
359,Wyoming,16,8,8,.500,-2.46,3.54,,1,2,,5,1,,0,6,,1167,1182,,640,389,861,.452,111,291,.381,278,367,.757,159,541,186,91,50,242,247
360,Xavier,15,7,8,.467,13.96,9.36,,1,3,,6,4,,0,3,,1119,1050,,600,400,921,.434,97,291,.333,222,306,.725,190,606,257,106,61,187,259
361,Yale,16,10,6,.625,1.39,0.39,,1,0,,3,1,,5,4,,1207,1085,,655,451,984,.458,111,328,.338,194,266,.729,178,609,227,99,57,166,235
362,Youngstown State,18,13,5,.722,0.53,-2.04,,5,2,,10,1,,3,4,,1466,1271,,720,534,1170,.456,169,496,.341,229,305,.751,219,725,299,115,88,199,279
